streetAddress,addressLoc,addressReg,postalCode,latitute,longitude,price,beds,baths,sqft
6135 Indigo St,Houston,TX,77074,29.685503,-95.49998,$299000,4bd,3ba,2147 sqft
310 S Jensen Dr #4,Houston,TX,77003,29.760366,-95.34414,$340000,3bd,4ba,1560 sqft
3830 Lydia St,Houston,TX,77021,29.68259,-95.36731,$239900,5bd,4ba,2565 sqft
2902 W Lane Dr #8,Houston,TX,77027,29.738928,-95.44949,$649000,3bd,3ba,3950 sqft
5410 Aspen St,Houston,TX,77081,29.701353,-95.47536,$999500,6bd,4ba,1722 sqft
6511 Myrtle St,Houston,TX,77087,29.709284,-95.30314,$244900,2bd,3ba,1987 sqft
15518 Kiplands Bend Dr,Houston,TX,77014,30.001205,-95.464645,$157000,3bd,3ba,3729 sqft
3050 Providence Oak St,Houston,TX,77084,29.813457,-95.71407,$299999,2bd,2ba,1740 sqft
432 Wilcrest Dr #432,Houston,TX,77042,29.75838,-95.57871,$215000,3bd,2ba,1547 sqft
305 N Adams St,Houston,TX,77011,29.748684,-95.32227,$119000,3bd,4ba,2020 sqft
1330 Dian St #B,Houston,TX,77008,29.79511,-95.41377,$384990,6bd,9ba,6811 sqft
9522 Majestic Canyon Ln,Houston,TX,77070,29.997833,-95.569954,$1500000,4bd,4ba,4025 sqft
102 Morningview Park St,Houston,TX,77024,29.7647,-95.5531,$1695000,3bd,2ba,1783 sqft
8409 Barkley St,Houston,TX,77017,29.68281,-95.25706,$170000,3bd,4ba,2020 sqft
1334 Dian St #A,Houston,TX,77008,29.795351,-95.41373,$384990,3bd,2ba,2831 sqft
1507 Darnley Ln,Houston,TX,77077,29.7592,-95.633736,$464500,4bd,2ba,1762 sqft
1114 Helms Rd,Houston,TX,77088,29.896965,-95.420494,$195000,3bd,2ba,2256 sqft
3727 Latma Dr,Houston,TX,77025,29.683882,-95.437355,$429000,3bd,2ba,1284 sqft
8703 Pattibob St,Houston,TX,77029,29.763607,-95.269745,$65000,5bd,4ba,548 sqft
2101 Lee St,Houston,TX,77026,29.781721,-95.3479,$255000,3bd,2ba,3705 sqft
4131 Dartmouth Ave,Houston,TX,77005,29.722918,-95.44442,$1395000,4bd,3ba,1316 sqft
12634 Pelican Bay Dr,Houston,TX,77038,29.9272,-95.4594,$167900,3bd,2ba,2251 sqft
1710 Kilmory Ct,Houston,TX,77014,29.984386,-95.44903,$187500,1bd,1ba,2248 sqft
2811 Dennis St,Houston,TX,77004,29.735332,-95.358635,$210000,3bd,3ba,2316 sqft
8519 Parmer Ct,Houston,TX,77064,29.897047,-95.560616,$295000,3bd,4ba,1075 sqft
1904 FM 1960 Rd,Houston,TX,77073,30.026167,-95.39895,$999000,3bd,2ba,2168 sqft
1901 Post Oak Blvd #4212,Houston,TX,77056,29.74694,-95.45974,$259600,4bd,3ba,2698 sqft
7655 S Braeswood Blvd #19,Houston,TX,77071,29.674086,-95.51221,$169000,3bd,2ba,1588 sqft
1438 W 34th 1/2 St,Houston,TX,77018,29.818783,-95.42467,$536990,3bd,3ba,3423 sqft
 Seeker St,Houston,TX,77028,29.837631,-95.27303,$35000,4bd,3ba,1583 sqft
5059 Azalea Trace Dr,Houston,TX,77066,29.959698,-95.493355,$205882,3bd,4ba,2140 sqft
6910 Rustic Pecan Ln,Houston,TX,77049,29.827065,-95.164604,$219900,3bd,3ba,3325 sqft
7134 Tours St,Houston,TX,77036,29.70167,-95.524345,$214900,3bd,2ba,2234 sqft
3405 Berry Rd,Houston,TX,77093,29.839165,-95.334946,$450000,4bd,2ba,2021 sqft
103 Andorra Ln,Houston,TX,77015,29.80325,-95.17195,$174000,2bd,2ba,1088 sqft
2645 Marilee Ln #2645,Houston,TX,77057,29.738586,-95.498184,$110900,2bd,3ba,1540 sqft
1115 Augusta Dr #36,Houston,TX,77057,29.755373,-95.482,$244900,2bd,3ba,2606 sqft
1408 Vermont St #D,Houston,TX,77006,29.75077,-95.39783,$479900,1bd,1ba,664 sqft
2400 McCue Rd #348,Houston,TX,77056,29.742884,-95.46476,$205000,2bd,1ba,993 sqft
2606 Roy Cir,Houston,TX,77007,29.780409,-95.41185,$329000,3bd,3ba,1547 sqft
8302 Greenleaf Lake Dr,Houston,TX,77095,29.904795,-95.64889,$179000,3bd,4ba,2809 sqft
5504 Darling St,Houston,TX,77007,29.780027,-95.42039,$475000,3bd,2ba,1250 sqft
12531 Roxdale Ridge Dr,Houston,TX,77044,29.859787,-95.20693,$180000,3bd,4ba,2543 sqft
1055 W 17th St,Houston,TX,77008,29.801147,-95.41754,$405000,2bd,2ba,1596 sqft
12610 Riva Ridge Ln,Houston,TX,77071,29.639402,-95.51646,$117000,4bd,3ba,2052 sqft
6530 Wilshire Lks,Houston,TX,77040,29.858213,-95.50106,$218900,3bd,2ba,1890 sqft
 Hickok Ln,Houston,TX,77075,29.628819,-95.2742,$67000,3bd,4ba,3871 sqft
3411 White Oak Dr,Houston,TX,77007,29.781277,-95.3945,$445000,3bd,3ba,3148 sqft
 Easter St,Houston,TX,77091,29.856049,-95.44808,$45000,3bd,2ba,1820 sqft
35 Hackberry Ln,Houston,TX,77027,29.734985,-95.44991,$995000,3bd,3ba,2604 sqft
5726 Bering Cir,Houston,TX,77057,29.759169,-95.4792,$750000,4bd,4ba,3349 sqft
4326 Shingle Oak Ln,Houston,TX,77088,29.866415,-95.46928,$173000,1bd,1ba,1090 sqft
1448 Nashua St #B,Houston,TX,77008,29.79765,-95.41222,$470000,3bd,3ba,1992 sqft
6507 Rodrigo St #A,Houston,TX,77007,29.772816,-95.42844,$800000,3bd,3ba,2344 sqft
1711 Old Spanish Trl #112,Houston,TX,77054,29.69537,-95.4031,$239900,4bd,2ba,2539 sqft
3215 Cline St,Houston,TX,77020,29.766827,-95.33725,$354900,2bd,3ba,864 sqft
1117 Saint Agnes St,Houston,TX,77030,29.699322,-95.39977,$2820000,3bd,4ba,2472 sqft
15231 Parkville Dr,Houston,TX,77068,30.000889,-95.496216,$200000,4bd,2ba,4090 sqft
